Customer Name,Date,Orders
2 SISTERS FOOD GROUP,2023-11-20 00:00:00,0
3M,2023-11-20 00:00:00,8
AIMIA FOODS LTD,2023-11-20 00:00:00,0
ALLIED BAKERIES,2023-11-20 00:00:00,11
AMCOR,2023-11-20 00:00:00,27
ARROW FILM CONVERTORS LTD,2023-11-20 00:00:00,0
ASPLA,2023-11-20 00:00:00,0
ASTRA ZENECA,2023-11-20 00:00:00,65
ATTINDAS,2023-11-20 00:00:00,0
BEIERSDORF INCORPORATED,2023-11-20 00:00:00,88
BEMIS ELSHAM LTD,2023-11-20 00:00:00,0
BISCHOF & KLEIN,2023-11-20 00:00:00,0
BORAN MOPACK,2023-11-20 00:00:00,0
BORAN PLASTIC PACKAGING LTD,2023-11-20 00:00:00,0
BRAYFORD PLASTICS LTD,2023-11-20 00:00:00,1
BRITISH POLYTHENE IND PLC,2023-11-20 00:00:00,2
CARAMBAR & CO SAS,2023-11-20 00:00:00,2
COCA COLA,2023-11-20 00:00:00,205
Covis Pharma GmbH,2023-11-20 00:00:00,22
DANONE,2023-11-20 00:00:00,52
DS SMITH,2023-11-20 00:00:00,0
ELIF PLASTIK AMBALAJ SANAYI,2023-11-20 00:00:00,0
EMERGENT,2023-11-20 00:00:00,0
EMSUR MADRID,2023-11-20 00:00:00,0
EUGENE PERMA,2023-11-20 00:00:00,0
EUROFLEX,2023-11-20 00:00:00,0
Euroscatola,2023-11-20 00:00:00,0
EVERGREEN,2023-11-20 00:00:00,17
EVERRIS LIMITED,2023-11-20 00:00:00,1
EYEVANCE PHARMACEUTICALS,2023-11-20 00:00:00,0
FLEXOPLAST,2023-11-20 00:00:00,0
FOUR04 PACKAGING LTD,2023-11-20 00:00:00,0
FRANPRIX,2023-11-20 00:00:00,2
FRIGEMO,2023-11-20 00:00:00,0
Froneri,2023-11-20 00:00:00,7
GBFOODS,2023-11-20 00:00:00,14
GLACES THIRIET,2023-11-20 00:00:00,11
GREEN ISLE FOODS,2023-11-20 00:00:00,0
HALEON,2023-11-20 00:00:00,106
Herta,2023-11-20 00:00:00,3
HEWLETT PACKARD,2023-11-20 00:00:00,3
Horizon Pharma Ireland Ltd,2023-11-20 00:00:00,5
HOVIS LTD,2023-11-20 00:00:00,2
INTERFLEX GROUP INC,2023-11-20 00:00:00,0
IRISH FLEXIBLE PACKAGING LTD,2023-11-20 00:00:00,0
JDE,2023-11-20 00:00:00,23
KELLOGG COMPANY,2023-11-20 00:00:00,15
KERRY INC,2023-11-20 00:00:00,6
KIBAR GROUP,2023-11-20 00:00:00,0
LACTALIS,2023-11-20 00:00:00,9
LOREAL,2023-11-20 00:00:00,0
LVMH,2023-11-20 00:00:00,58
MACKLE PET FOODS,2023-11-20 00:00:00,0
"MARS, INC.",2023-11-20 00:00:00,282
MAZDA,2023-11-20 00:00:00,0
MCCAIN FOODS,2023-11-20 00:00:00,11
MERCADONA,2023-11-20 00:00:00,2
MILLER/COORS,2023-11-20 00:00:00,2
"ModernaTX, Inc.",2023-11-20 00:00:00,8
MONDELEZ,2023-11-20 00:00:00,97
MONDI PACKAGING,2023-11-20 00:00:00,0
MOUSLINE,2023-11-20 00:00:00,2
