Customer Name,Date,S&OP Forecast
3M - NA,2022-08-01 00:00:00,150
BROWN FORMAN CORPORATION - NA,2022-08-01 00:00:00,47
CONAGRA - NA,2022-08-01 00:00:00,56
DANONE - EU,2022-08-01 00:00:00,59
HALEON - EU,2022-08-01 00:00:00,177
INTERNATIONAL PAPER - NA,2022-08-01 00:00:00,45
JDE - EU,2022-08-01 00:00:00,160
METAL CONTAINER CORP - NA,2022-08-01 00:00:00,155
NOVOLEX - NA,2022-08-01 00:00:00,37
PACKAGING SPECIALTIE - NA,2022-08-01 00:00:00,141
PEEL PLASTIC PRODUCT - NA,2022-08-01 00:00:00,45
PROCTER & GAMBLE - EU,2022-08-01 00:00:00,600
THE FERRERO GROUP - NA,2022-08-01 00:00:00,90
3M - NA,2022-08-08 00:00:00,150
BROWN FORMAN CORPORATION - NA,2022-08-08 00:00:00,47
CONAGRA - NA,2022-08-08 00:00:00,86
DANONE - EU,2022-08-08 00:00:00,51
HALEON - EU,2022-08-08 00:00:00,207
INTERNATIONAL PAPER - NA,2022-08-08 00:00:00,45
JDE - EU,2022-08-08 00:00:00,160
METAL CONTAINER CORP - NA,2022-08-08 00:00:00,155
NOVOLEX - NA,2022-08-08 00:00:00,37
PACKAGING SPECIALTIE - NA,2022-08-08 00:00:00,141
PEEL PLASTIC PRODUCT - NA,2022-08-08 00:00:00,47
PROCTER & GAMBLE - EU,2022-08-08 00:00:00,600
THE FERRERO GROUP - NA,2022-08-08 00:00:00,105
3M - NA,2022-08-15 00:00:00,120
BROWN FORMAN CORPORATION - NA,2022-08-15 00:00:00,47
CONAGRA - NA,2022-08-15 00:00:00,10
DANONE - EU,2022-08-15 00:00:00,67
HALEON - EU,2022-08-15 00:00:00,208
INTERNATIONAL PAPER - NA,2022-08-15 00:00:00,45
JDE - EU,2022-08-15 00:00:00,140
METAL CONTAINER CORP - NA,2022-08-15 00:00:00,155
NOVOLEX - NA,2022-08-15 00:00:00,37
PACKAGING SPECIALTIE - NA,2022-08-15 00:00:00,141
PEEL PLASTIC PRODUCT - NA,2022-08-15 00:00:00,55
PROCTER & GAMBLE - EU,2022-08-15 00:00:00,600
THE FERRERO GROUP - NA,2022-08-15 00:00:00,120
3M - NA,2022-08-22 00:00:00,130
BROWN FORMAN CORPORATION - NA,2022-08-22 00:00:00,47
CONAGRA - NA,2022-08-22 00:00:00,15
DANONE - EU,2022-08-22 00:00:00,66
HALEON - EU,2022-08-22 00:00:00,238
INTERNATIONAL PAPER - NA,2022-08-22 00:00:00,45
JDE - EU,2022-08-22 00:00:00,140
METAL CONTAINER CORP - NA,2022-08-22 00:00:00,155
NOVOLEX - NA,2022-08-22 00:00:00,37
PACKAGING SPECIALTIE - NA,2022-08-22 00:00:00,141
PEEL PLASTIC PRODUCT - NA,2022-08-22 00:00:00,47
PROCTER & GAMBLE - EU,2022-08-22 00:00:00,600
THE FERRERO GROUP - NA,2022-08-22 00:00:00,90
3M - NA,2022-08-29 00:00:00,155
BROWN FORMAN CORPORATION - NA,2022-08-29 00:00:00,47
CONAGRA - NA,2022-08-29 00:00:00,20
DANONE - EU,2022-08-29 00:00:00,8
HALEON - EU,2022-08-29 00:00:00,83
HALEON - NA,2022-08-29 00:00:00,26
INTERNATIONAL PAPER - NA,2022-08-29 00:00:00,40
JDE - EU,2022-08-29 00:00:00,50
METAL CONTAINER CORP - NA,2022-08-29 00:00:00,140
NOVOLEX - NA,2022-08-29 00:00:00,33
PACKAGING SPECIALTIE - NA,2022-08-29 00:00:00,75
PEEL PLASTIC PRODUCT - NA,2022-08-29 00:00:00,33
PROCTER & GAMBLE - EU,2022-08-29 00:00:00,203
THE FERRERO GROUP - NA,2022-08-29 00:00:00,89
3M - NA,2022-09-05 00:00:00,145
BROWN FORMAN CORPORATION - NA,2022-09-05 00:00:00,47
CONAGRA - NA,2022-09-05 00:00:00,25
DANONE - EU,2022-09-05 00:00:00,45
HALEON - EU,2022-09-05 00:00:00,83
HALEON - NA,2022-09-05 00:00:00,48
INTERNATIONAL PAPER - NA,2022-09-05 00:00:00,42
JDE - EU,2022-09-05 00:00:00,50
METAL CONTAINER CORP - NA,2022-09-05 00:00:00,140
NOVOLEX - NA,2022-09-05 00:00:00,33
PACKAGING SPECIALTIE - NA,2022-09-05 00:00:00,80
PEEL PLASTIC PRODUCT - NA,2022-09-05 00:00:00,45
PROCTER & GAMBLE - EU,2022-09-05 00:00:00,222
THE FERRERO GROUP - NA,2022-09-05 00:00:00,60
3M - NA,2022-09-12 00:00:00,137
BROWN FORMAN CORPORATION - NA,2022-09-12 00:00:00,47
CONAGRA - NA,2022-09-12 00:00:00,15
DANONE - EU,2022-09-12 00:00:00,38
HALEON - EU,2022-09-12 00:00:00,88
HALEON - NA,2022-09-12 00:00:00,38
INTERNATIONAL PAPER - NA,2022-09-12 00:00:00,50
JDE - EU,2022-09-12 00:00:00,50
METAL CONTAINER CORP - NA,2022-09-12 00:00:00,145
