Customer Name,Date,Week,Actual Orders,Forecast Orders
3M - NA,2024-01-01 00:00:00,01,12,55
BEIERSDORF INCORPORATED - EU,2024-01-01 00:00:00,01,42,150
BROWN FORMAN CORPORATION - NA,2024-01-01 00:00:00,01,49,30
CONAGRA - NA,2024-01-01 00:00:00,01,65,40
DANONE - EU,2024-01-01 00:00:00,01,29,105
HALEON - EU,2024-01-01 00:00:00,01,51,100
HALEON - NA,2024-01-01 00:00:00,01,13,20
INTERNATIONAL PAPER - NA,2024-01-01 00:00:00,01,10,30
JDE - EU,2024-01-01 00:00:00,01,50,38
METAL CONTAINER CORP - NA,2024-01-01 00:00:00,01,4,80
NOVOLEX - NA,2024-01-01 00:00:00,01,30,30
PACKAGING SPECIALTIE - NA,2024-01-01 00:00:00,01,0,35
PEEL PLASTIC PRODUCT - NA,2024-01-01 00:00:00,01,3,33
PROCTER & GAMBLE - EU,2024-01-01 00:00:00,01,45,92
THE FERRERO GROUP - NA,2024-01-01 00:00:00,01,19,30
3M - NA,2023-12-25 00:00:00,52,19,100
BEIERSDORF INCORPORATED - EU,2023-12-25 00:00:00,52,15,100
BROWN FORMAN CORPORATION - NA,2023-12-25 00:00:00,52,23,30
CONAGRA - NA,2023-12-25 00:00:00,52,34,50
DANONE - EU,2023-12-25 00:00:00,52,24,75
HALEON - EU,2023-12-25 00:00:00,52,32,100
HALEON - NA,2023-12-25 00:00:00,52,5,20
INTERNATIONAL PAPER - NA,2023-12-25 00:00:00,52,6,30
JDE - EU,2023-12-25 00:00:00,52,40,25
METAL CONTAINER CORP - NA,2023-12-25 00:00:00,52,0,90
NOVOLEX - NA,2023-12-25 00:00:00,52,24,30
PACKAGING SPECIALTIE - NA,2023-12-25 00:00:00,52,0,40
PEEL PLASTIC PRODUCT - NA,2023-12-25 00:00:00,52,6,26
PROCTER & GAMBLE - EU,2023-12-25 00:00:00,52,62,78
THE FERRERO GROUP - NA,2023-12-25 00:00:00,52,12,30
3M - NA,2023-12-18 00:00:00,51,100,150
BEIERSDORF INCORPORATED - EU,2023-12-18 00:00:00,51,72,100
BROWN FORMAN CORPORATION - NA,2023-12-18 00:00:00,51,50,40
CONAGRA - NA,2023-12-18 00:00:00,51,96,70
DANONE - EU,2023-12-18 00:00:00,51,121,75
HALEON - EU,2023-12-18 00:00:00,51,161,165
HALEON - NA,2023-12-18 00:00:00,51,23,57
INTERNATIONAL PAPER - NA,2023-12-18 00:00:00,51,8,40
JDE - EU,2023-12-18 00:00:00,51,75,28
METAL CONTAINER CORP - NA,2023-12-18 00:00:00,51,9,130
NOVOLEX - NA,2023-12-18 00:00:00,51,104,75
PACKAGING SPECIALTIE - NA,2023-12-18 00:00:00,51,0,65
PEEL PLASTIC PRODUCT - NA,2023-12-18 00:00:00,51,8,39
PROCTER & GAMBLE - EU,2023-12-18 00:00:00,51,120,155
THE FERRERO GROUP - NA,2023-12-18 00:00:00,51,31,60
3M - NA,2023-12-11 00:00:00,50,64,180
BEIERSDORF INCORPORATED - EU,2023-12-11 00:00:00,50,118,100
BROWN FORMAN CORPORATION - NA,2023-12-11 00:00:00,50,90,40
CONAGRA - NA,2023-12-11 00:00:00,50,92,70
DANONE - EU,2023-12-11 00:00:00,50,52,75
HALEON - EU,2023-12-11 00:00:00,50,158,165
HALEON - NA,2023-12-11 00:00:00,50,25,57
INTERNATIONAL PAPER - NA,2023-12-11 00:00:00,50,29,40
JDE - EU,2023-12-11 00:00:00,50,31,38
METAL CONTAINER CORP - NA,2023-12-11 00:00:00,50,5,145
NOVOLEX - NA,2023-12-11 00:00:00,50,75,60
PACKAGING SPECIALTIE - NA,2023-12-11 00:00:00,50,0,54
PEEL PLASTIC PRODUCT - NA,2023-12-11 00:00:00,50,19,35
PROCTER & GAMBLE - EU,2023-12-11 00:00:00,50,184,68
THE FERRERO GROUP - NA,2023-12-11 00:00:00,50,37,60
3M - NA,2023-12-04 00:00:00,49,69,175
BEIERSDORF INCORPORATED - EU,2023-12-04 00:00:00,49,66,100
BROWN FORMAN CORPORATION - NA,2023-12-04 00:00:00,49,87,40
CONAGRA - NA,2023-12-04 00:00:00,49,81,75
DANONE - EU,2023-12-04 00:00:00,49,42,75
HALEON - EU,2023-12-04 00:00:00,49,183,165
HALEON - NA,2023-12-04 00:00:00,49,54,57
INTERNATIONAL PAPER - NA,2023-12-04 00:00:00,49,13,38
JDE - EU,2023-12-04 00:00:00,49,55,41
METAL CONTAINER CORP - NA,2023-12-04 00:00:00,49,4,135
NOVOLEX - NA,2023-12-04 00:00:00,49,90,62
PACKAGING SPECIALTIE - NA,2023-12-04 00:00:00,49,0,45
PEEL PLASTIC PRODUCT - NA,2023-12-04 00:00:00,49,7,36
PROCTER & GAMBLE - EU,2023-12-04 00:00:00,49,118,124
THE FERRERO GROUP - NA,2023-12-04 00:00:00,49,14,55
3M - NA,2023-11-27 00:00:00,48,53,180
BEIERSDORF INCORPORATED - EU,2023-11-27 00:00:00,48,96,150
BROWN FORMAN CORPORATION - NA,2023-11-27 00:00:00,48,69,30
CONAGRA - NA,2023-11-27 00:00:00,48,173,75
DANONE - EU,2023-11-27 00:00:00,48,63,75
HALEON - EU,2023-11-27 00:00:00,48,180,110
HALEON - NA,2023-11-27 00:00:00,48,89,57
INTERNATIONAL PAPER - NA,2023-11-27 00:00:00,48,15,30
JDE - EU,2023-11-27 00:00:00,48,23,27
METAL CONTAINER CORP - NA,2023-11-27 00:00:00,48,9,90
NOVOLEX - NA,2023-11-27 00:00:00,48,64,55
PACKAGING SPECIALTIE - NA,2023-11-27 00:00:00,48,0,58
PEEL PLASTIC PRODUCT - NA,2023-11-27 00:00:00,48,11,38
PROCTER & GAMBLE - EU,2023-11-27 00:00:00,48,193,69
THE FERRERO GROUP - NA,2023-11-27 00:00:00,48,16,65
3M - NA,2023-11-20 00:00:00,47,57,165
BEIERSDORF INCORPORATED - EU,2023-11-20 00:00:00,47,88,150
BROWN FORMAN CORPORATION - NA,2023-11-20 00:00:00,47,32,30
CONAGRA - NA,2023-11-20 00:00:00,47,127,75
DANONE - EU,2023-11-20 00:00:00,47,52,75
HALEON - EU,2023-11-20 00:00:00,47,107,110
HALEON - NA,2023-11-20 00:00:00,47,21,57
